subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
q3fw35yz807,woman,37,16,80to100k,4,95,5,4,G5,1,50,50,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,5,G1,0,46,54,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,6,L11,2,58,42,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,7,G11,0,50,50,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,8,G9,1,48,52,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,9,G2,2,58,42,2021-12-13 21:06:48.151423
q3fw35yz807,woman,37,16,80to100k,4,95,5,10,L5,1,53,47,2021-12-13 21:06:48.151423
r3qk35yzypw,man,54,16,<20k,3,77,23,1,L1,0,70,30,2021-12-13 21:07:16.967326
r3qk35yzypw,man,54,16,<20k,3,77,23,2,G5,3,50,50,2021-12-13 21:07:16.967326
r3qk35yzypw,man,54,16,<20k,3,77,23,3,G2,3,30,70,2021-12-13 21:07:16.967326
